자재코드,자재명,박스구분,박스형태,박스유형,벽체,원자재코드,원자재코드명,가공방법,가로,세로,높이
C41-6B-00005,"포장박스,디즈니 재팬 올리",박스,A형,A표준형,DW,PPRPRP0000308,"골판지원단,DW,KLBSSSKLB(BA)",일반,440.0,340.0,315.0
C41-6B-0001,"포장박스,HCX0001",마감블럭,마감블럭형,마감블럭형,SW,PPRPRP0000375,"골판지원단,SW,SKSK(B)",톰슨,150.0,70.0,72.0
C41-6B-00013,"포장박스,660*650*900 완조립",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,660.0,650.0,900.0
C41-6B-00014,"포장박스,660*650*950 완조립",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,660.0,650.0,950.0
C41-6B-000151,"포장박스,660*650*1020 완조립",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,660.0,650.0,1020.0
C41-6B-000152,"포장박스,660*650*1020 완조립,시디즈",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,660.0,650.0,1020.0
C41-6B-000153,"포장박스,660*650*1020 완조립,일룸",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,660.0,650.0,1020.0
C41-6B-00017,"포장박스,730*710*1050 완조립",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,730.0,710.0,1050.0
C41-6B-000172,"포장박스,730*710*1050 완조립 일룸 지엘",박스,A형,A1형,DW,PPRPRP0000308,"골판지원단,DW,KLBSSSKLB(BA)",일반,730.0,710.0,1050.0
C41-6B-000173,"포장박스,760*740*1200 완조립, UY",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,760.0,740.0,1200.0
C41-6B-000174,"포장박스,760*740*1050 완조립, UY",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,760.0,740.0,1050.0
C41-6B-000175,"포장박스,730*710*1050 완조립(T80마블전용)",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,730.0,710.0,1050.0
C41-6B-000176,"포장박스,730*710*1050 완조립,시디즈",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,730.0,710.0,1050.0
C41-6B-00018,"포장박스,730*710*1200 완조립",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,730.0,710.0,1200.0
C41-6B-000182,"포장박스,730*710*1200 완조립, 일룸",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,730.0,710.0,1200.0
C41-6B-000186,"포장박스,730*710*1200 완조립,시디즈",박스,A형,A1형,DW,PPRPRP0000328,"골판지원단,DW,KLBSSKK(BA)",일반,730.0,710.0,1200.0
C41-6B-00031,"포장박스,캐스터(5개),인쇄",마감블럭,마감블럭형,마감블럭형,SW,PPRPRP0000377,"골판지원단,SW,SKSB(A)",톰슨,290.0,90.0,70.0
C41-6B-0004,"포장박스,중심봉포장",마감블럭,마감블럭형,마감블럭형,SW,PPRPRP0000375,"골판지원단,SW,SKSK(B)",톰슨,290.0,90.0,70.0
C41-6B-00040,"3층후레임,포장박스,M10,3개",박스,A형,A표준형,DW,PPRPRP0000308,"골판지원단,DW,KLBSSSKLB(BA)",일반,725.0,590.0,945.0
C41-6B-00044,"3층후레임,포장박스,M10,3개,퍼시스",박스,A형,A표준형,DW,PPRPRP0000308,"골판지원단,DW,KLBSSSKLB(BA)",일반,725.0,590.0,945.0
C41-6B-00046,"3층후레임,포장박스,온라인MX10(1EA)",박스,A형,A표준형,DW,PPRPRP0000334,"골판지원단,DW,KLBSSSK(BA)",일반,695.0,605.0,905.0
C41-6B-00047,"3층후레임,패드,온라인MX10",패드,패드형,패드형,DW,PPRPRP0000334,"골판지원단,DW,KLBSSSK(BA)",톰슨,680.0,590.0,0.0
C41-6B-00055,"포장박스,M50(1EA)",박스,A형,A표준형,DW,PPRPRP0000334,"골판지원단,DW,KLBSSSK(BA)",일반,620.0,540.0,830.0
C41-6B-00056,"패드,M50(1EA)",패드,패드형,패드형,DW,PPRPRP0000334,"골판지원단,DW,KLBSSSK(BA)",톰슨,750.0,670.0,0.0
