원자재코드,원자재코드명,벽체,골종,골두께,라이너,일반장보정_소,일반장보정_대,톰슨장보정_소,톰슨장보정_대,폭보정_일반,폭보정_톰슨,패드보정_일반,패드보정_톰슨,소대경계
PPRPRP0000446,골판지원단_SW_BSB(B),SW,B,3,B/S/B,64,104,104,144,33,65,20,40,2500
PPRPRP0000374,골판지원단_SW_SKSK(A),SW,A,5,SK/SK,64,104,104,144,25,65,20,40,2500
PPRPRP0000375,골판지원단_SW_SKSK(B),SW,B,3,SK/SK,64,104,104,144,33,65,20,40,2500
PPRPRP0000377,골판지원단_SW_SKSB(A),SW,A,5,SK/SB,64,104,104,144,25,65,20,40,2500
PPRPRP0000379,골판지원단_SW_SKSB(E),SW,E,1.5,SK/SB,64,104,104,144,25,65,20,40,2500
PPRPRP0000380,골판지원단_SW_SKSS(A),SW,A,5,SK/SS,64,104,104,144,25,65,20,40,2500
PPRPRP0000381,골판지원단_SW_SKSS(B),SW,B,3,SK/SS,64,104,104,144,33,65,20,40,2500
PPRPRP0000400,골판지원단_SW_KLBKKLB(A),SW,A,5,KLB/K/KLB,64,104,104,144,25,65,20,40,2500
PPRPRP0000401,골판지원단_SW_KLBKKLB(B),SW,B,3,KLB/K/KLB,64,104,104,144,33,65,20,40,2500
PPRPRP0000405,골판지원단_SW_KLBSKLB(B),SW,B,3,KLB/S/KLB,64,104,104,144,33,65,20,40,2500
PPRPRP0000427,골판지원단_SW_SKKK(A),SW,A,5,SK/KK,64,104,104,144,25,65,20,40,2500
PPRPRP0000428,골판지원단_SW_SKKK(B),SW,B,3,SK/KK,64,104,104,144,33,65,20,40,2500
PPRPRP0000275,골판지원단_DW_SKSSSK(BA),DW,BA,8,SK/SS/SK,76,116,116,156,33,73,20,40,2440
PPRPRP0000288,골판지원단_DW_SKSSSB(BA),DW,BA,8,SK/SS/SB,76,116,116,156,33,73,20,40,2440
PPRPRP0000308,골판지원단_DW_KLBSSSKLB(BA),DW,BA,8,KLB/SSS/KLB,76,116,116,156,33,73,20,40,2440
PPRPRP0000309,골판지원단_DW_KLBSSSKLB(BB),DW,BB,6,KLB/SSS/KLB,76,116,116,156,33,73,20,40,2440
PPRPRP0000311,골판지원단_DW_KLBKKKKLB(BA),DW,BA,8,KLB/KKK/KLB,76,116,116,156,33,73,20,40,2440
PPRPRP0000314,골판지원단_DW_KLBKSKKLB(BA),DW,BA,8,KLB/KSK/KLB,76,116,116,156,33,73,20,40,2440
PPRPRP0000327,골판지원단_DW_KLBSSSB(BB),DW,BB,6,KLB/SSS/B,76,116,116,156,33,73,20,40,2440
PPRPRP0000328,골판지원단_DW_KLBSSKK(BA),DW,BA,8,KLB/SS/KK,76,116,116,156,33,73,20,40,2440
PPRPRP0000334,골판지원단_DW_KLBSSSK(BA),DW,BA,8,KLB/SS/SK,76,116,116,156,33,73,20,40,2440
PPRPRP0000335,골판지원단_DW_KLBSSSK(BB),DW,BB,6,KLB/SS/SK,76,116,116,156,33,73,20,40,2440
PPRPRP0000349,골판지원단_DW_WKSSKK(BA),DW,BA,8,WK/SS/KK,76,116,116,156,33,73,20,40,2440
PPRPRP0000358,골판지원단_DW_KWBKKK(BA),DW,BA,8,KWB/KKK,76,116,116,156,33,73,20,40,2440
PPRPRP0000371,골판지원단_DW_KLB/DK/KLB/DK/KLB,DW,BA,8,KLB/DK/KLB/DK/KLB,76,116,116,156,33,73,20,40,2440
PPRPRP0000373,골판지원단_DW_KLB175GSSGKKLB175,DW,BA,8,KLB175/GSSGK/KLB175,76,116,116,156,33,73,20,40,2440
PPRPRP0000547,골판지원단_DW_KW175KKKKW175(BB),DW,BB,6,KW175/KKKK/W175,76,116,116,156,33,73,20,40,2440
PPRPRP0000568,골판지원단_DW_KLBCKKCKKLB(BA),DW,BA,8,KLB/CKKCK/KLB,76,116,116,156,33,73,20,40,2440
